Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2010,3,Sanjay Ram,8631,7.70%,Indian National Congress,Bathnaha,24
2010,4,Gagan Dev Paswan,4617,4.10%,Independent,Bathnaha,24
2010,5,Ganesh Ram,3219,2.90%,Bahujan Samaj Party,Bathnaha,24
2010,6,Bijnandan Kumar,3143,2.80%,Independent,Bathnaha,24
2010,7,Nageshwar Paswan,1994,1.80%,Samajwadi Janata Party (RASHTRIYA),Bathnaha,24
2010,8,Mahendra Manjhi,1708,1.50%,Janata Dal (Secular),Bathnaha,24
2010,9,Bacchu Paswan,1492,1.30%,Independent,Bathnaha,24
2010,10,Arun Kumar Paswan,1037,0.90%,Independent,Bathnaha,24
2010,11,Manchit Paswan,812,0.70%,Samajwadi Party,Bathnaha,24
2010,1,Ram Naresh Pr. Yadav.,32987,28.60%,Bharatiya Janta Party,Parihar,25
2010,2,Dr. Ramchandra Purve,28769,24.90%,Rashtriya Janata Dal,Parihar,25
2010,3,Md. Parvej Alam,20388,17.70%,Indian National Congress,Parihar,25
2010,4,Mahendra Singh Yadav.,13535,11.70%,Independent,Parihar,25
2010,5,Raghwendra Kumar Ravi.,5101,4.40%,Bahujan Samaj Party,Parihar,25
2010,6,Vishun Dev Sah.,2654,2.30%,Independent,Parihar,25
2010,7,Akhilesh Narayan Thakur.,2313,2.00%,Independent,Parihar,25
2010,8,Basiran Khatoon.,2182,1.90%,Samajwadi Janata Party (RASHTRIYA),Parihar,25
2010,9,Mohamad Majlum Shah.,1871,1.60%,Independent,Parihar,25
2010,10,Jay Narayan Mahto.,1684,1.50%,Independent,Parihar,25
2010,11,Mohamad Hazrool Sah.,1215,1.10%,Independent,Parihar,25
2010,12,Veer Bahadur Prasad Yadav.,1100,1.00%,Janata Dal (Secular),Parihar,25
2010,13,Mohammad Kamrul Hasan.,916,0.80%,Nationalist Congress Party,Parihar,25
2010,14,Mohammad Shahanawaj Nujharul.,760,0.70%,Samajwadi Party,Parihar,25
2010,1,Shahid Ali Khan,38542,33.10%,Janata Dal (United),Sursand,26
2010,2,Jainandan Prasad Yadav,37356,32.10%,Rashtriya Janata Dal,Sursand,26
2010,3,Vimal Shukla,15158,13.00%,Indian National Congress,Sursand,26
2010,4,Anita Raut,13173,11.30%,Communist Party Of India,Sursand,26
2010,5,Bijay Kumar Hathi,3286,2.80%,Bahujan Samaj Party,Sursand,26
2010,6,Sushama Devi Sarraf,2746,2.40%,Independent,Sursand,26
2010,7,Sushil Kumar Chaudhary,2519,2.20%,Independent,Sursand,26
2010,8,Lokesh Kumar Singh,1409,1.20%,Independent,Sursand,26
2010,9,Mahesh Kumar,1302,1.10%,Independent,Sursand,26
2010,10,Bharat Bhushan Sahni,984,0.80%,Nationalist Congress Party,Sursand,26
2010,1,Ranju Geeta,44726,38.50%,Janata Dal (United),Bajpatti,27
2010,2,Md. Anwarul Haque,41306,35.60%,Rashtriya Janata Dal,Bajpatti,27
2010,3,Ravindra Kumar Shahi,10428,9.00%,Independent,Bajpatti,27
2010,4,Gajadhar Thakur,5574,4.80%,Indian National Congress,Bajpatti,27
2010,5,Sumitra Devi,2501,2.20%,Independent,Bajpatti,27
2010,6,Anwar Ali,2472,2.10%,Bahujan Samaj Party,Bajpatti,27
2010,7,Ishtiaque,1982,1.70%,Independent,Bajpatti,27
2010,8,Vijay Kumar Jha,1917,1.70%,Independent,Bajpatti,27
2010,9,Ahiraj Shailendra Bhushan,1397,1.20%,Independent,Bajpatti,27
2010,10,Neyaz Ahmad Siddiqee,1389,1.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bajpatti,27
2010,11,Mukesh Kumar Ravi,932,0.80%,Nationalist Congress Party,Bajpatti,27
2010,12,Devendra Jha,802,0.70%,Independent,Bajpatti,27
2010,13,Birendra Kumar,692,0.60%,Independent,Bajpatti,27
2010,1,Sunil Kumar Alias Pintu,51664,43.60%,Bharatiya Janta Party,Sitamarhi,28
2010,2,Raghwendra Kumar Singh,46443,39.20%,Lok Jan Shakti Party,Sitamarhi,28
2010,3,Amarnath Gupta,8055,6.80%,Bahujan Samaj Party,Sitamarhi,28
2010,4,Kumari Rupam,3870,3.30%,Indian National Congress,Sitamarhi,28
2010,5,Ganesh Prasad,3658,3.10%,Independent,Sitamarhi,28
2010,6,Madhurendra Thakur,2139,1.80%,Revolutionary Socialist Party,Sitamarhi,28
2010,7,Madhup Kumar Singh,1701,1.40%,Nationalist Congress Party,Sitamarhi,28
2010,8,Ratan Kumar,997,0.80%,Samajwadi Party,Sitamarhi,28
2010,1,Guddi Devi,36125,33.20%,Janata Dal (United),Runisaidpur,29
2010,2,Ram Shatrughan Rai,25366,23.30%,Rashtriya Janata Dal,Runisaidpur,29
2010,3,Mangeeta Devi,14125,13.00%,Independent,Runisaidpur,29
2010,4,Moni Gupta,10114,9.30%,Indian National Congress,Runisaidpur,29
2010,5,Sushma Narayan,6289,5.80%,Bahujan Samaj Party,Runisaidpur,29
2010,6,Mohammad Salahuddin Ansari,4494,4.10%,Independent,Runisaidpur,29
2010,7,Nawal Kishore Shahi,3703,3.40%,Nationalist Congress Party,Runisaidpur,29
2010,8,Ira Devi,3553,3.30%,Independent,Runisaidpur,29
2010,9,Devendra Pd. Yadav,2740,2.50%,Communist Party Of India (MARXIST),Runisaidpur,29
2010,10,Mandakani Kumari,1335,1.20%,Independent,Runisaidpur,29
2010,11,Sonelalsah,1129,1.00%,Bajjikanchal Vikas Party,Runisaidpur,29
2010,1,Sunita Singh,38139,38.80%,Janata Dal (United),Belsand,30
2010,2,Sanjay Kumar Gupta,18559,18.90%,Rashtriya Janata Dal,Belsand,30
2010,3,Tahir Anish Kha,13996,14.20%,Indian National Congress,Belsand,30
2010,4,Upendra Sahni,8301,8.50%,Bahujan Samaj Party,Belsand,30
2010,5,Akhilesh Kumar Singh,6661,6.80%,Independent,Belsand,30
2010,6,Ram Swarth Ray,4463,4.50%,Janata Dal (Secular),Belsand,30
2010,7,Sanjay Singh,3064,3.10%,Independent,Belsand,30
2010,8,Khusnandan Ray,2161,2.20%,Samajwadi Party,Belsand,30
2010,9,Mohmmad Hafij Raien,1528,1.60%,Independent,Belsand,30
2010,10,Mohmmad Jamaludeen,1412,1.40%,Nationalist Congress Party,Belsand,30
2010,1,Shaligram Yadav,30281,27.00%,Janata Dal (United),Harlakhi,31
2010,2,Ram Naresh Pandey,23622,21.00%,Communist Party Of India,Harlakhi,31
2010,3,Ramashish Yadav,20572,18.30%,Rashtriya Janata Dal,Harlakhi,31
2010,4,Md. Shabbir,18276,16.30%,Indian National Congress,Harlakhi,31
2010,5,Basant Kumar,8748,7.80%,Bahujan Samaj Party,Harlakhi,31
2010,6,Hiralal Sah,4784,4.30%,Independent,Harlakhi,31
2010,7,Md. Nezamuddin Neshat,2480,2.20%,Independent,Harlakhi,31
2010,8,Sanjay Paswan,2283,2.00%,Janata Dal (Secular),Harlakhi,31
2010,9,Rakesh Kumar Pathak,1238,1.10%,Independent,Harlakhi,31
2010,1,Vinod Narain Jha,31198,31.90%,Bharatiya Janta Party,Benipatti,32
2010,2,Mahesh Chandra Singh,18556,19.00%,Lok Jan Shakti Party,Benipatti,32
2010,3,Bhawana Jha.,13334,13.70%,Indian National Congress,Benipatti,32
2010,4,Kripa Nand Jha,9693,9.90%,Communist Party Of India,Benipatti,32
2010,5,Shiv Shankar Yadav,2558,2.60%,Independent,Benipatti,32
2010,6,Sanjay Kumar Singh,2438,2.50%,Independent,Benipatti,32
2010,7,Mohd Zinnur,2181,2.20%,Independent,Benipatti,32
2010,8,Chandra Kishor Roy,2021,2.10%,Bharatiya Jan Kranti Dal (Democratic),Benipatti,32
2010,9,Md. Habib,1814,1.90%,Samajwadi Janata Party (RASHTRIYA),Benipatti,32
2010,10,Ajit Paswan,1643,1.70%,Independent,Benipatti,32
2010,11,Ganeshpandey,1569,1.60%,Independent,Benipatti,32
2010,12,Mishri Lal Yadav,1436,1.50%,Bahujan Samaj Party,Benipatti,32
2010,13,Anurag Sahni,1391,1.40%,Independent,Benipatti,32
2010,14,Kameshwar Yadav,1297,1.30%,Akhil Bharitya Mithila Party,Benipatti,32
2010,15,Mahendra Narayan Ray,1207,1.20%,Nationalist Congress Party,Benipatti,32
2010,16,Mohammadarshad Hussain,1183,1.20%,Janata Dal (Secular),Benipatti,32
2010,17,Randhir Thakur,1176,1.20%,Independent,Benipatti,32
2010,18,Ram Chandra Yadava,941,1.00%,Krantikari Samyavadi Party,Benipatti,32
2010,19,Binod Yadav,760,0.80%,Samajwadi Party,Benipatti,32
2010,20,Lalit Yadav,742,0.80%,Bahujan Ekta Party (R),Benipatti,32
2010,21,Ram Lakhan Ram,530,0.50%,Independent,Benipatti,32
2010,1,Arun Shankar Prasad,44959,36.20%,Bharatiya Janta Party,Khajauli,33
2010,2,Sitaram Yadav,34246,27.60%,Rashtriya Janata Dal,Khajauli,33
2010,3,Amiruddin,17816,14.40%,Communist Party Of India,Khajauli,33
2010,4,Deepak Kumar Singh,6841,5.50%,Indian National Congress,Khajauli,33
2010,5,Hira Prasad Mishr,4068,3.30%,Janata Dal (Secular),Khajauli,33
2010,6,Ram Prasad Raut,2348,1.90%,Independent,Khajauli,33
2010,7,Shambhu Pra Yadav,2076,1.70%,Bahujan Samaj Party,Khajauli,33
2010,8,Pramod Kr. Prabhakar,2041,1.60%,Samajwadi Party,Khajauli,33
2010,9,Biswnath Yadav,1800,1.50%,Independent,Khajauli,33
2010,10,Naresh Kr. Singh,1584,1.30%,Akhil Bharitya Mithila Party,Khajauli,33
2010,11,Gufran Ahmed,1329,1.10%,Independent,Khajauli,33
2010,12,Chandraketuna Yadav,1251,1.00%,Independent,Khajauli,33
2010,13,Laxmi Paswan,1075,0.90%,J & K National Panthers Party,Khajauli,33
2010,14,Rajdeo Das,968,0.80%,Independent,Khajauli,33
2010,15,Ibrahim Abbasi,876,0.70%,Independent,Khajauli,33
2010,16,Brajesh Rout,867,0.70%,Independent,Khajauli,33
2010,1,Uma Kant Yadav,51772,40.50%,Rashtriya Janata Dal,Babubarhi,34
2010,2,Kapildeb Kamat,46859,36.70%,Janata Dal (United),Babubarhi,34
2010,3,Raj Kumar Mahaseth,12667,9.90%,Indian National Congress,Babubarhi,34
2010,4,Rakesh Kumar Ranjan,5825,4.60%,Independent,Babubarhi,34
2010,5,Ram Ayodhya Yadav,2877,2.30%,Janata Dal (Secular),Babubarhi,34
2010,6,Manojjha,2685,2.10%,Independent,Babubarhi,34
2010,7,Bhola Prasad Singh,2061,1.60%,Bahujan Samaj Party,Babubarhi,34
2010,8,Mishra Lal Paswan,1705,1.30%,J & K National Panthers Party,Babubarhi,34
2010,9,Ram Bharos Singh,1301,1.00%,Samajwadi Party,Babubarhi,34
2010,1,Dr. Faiyaj Ahmad,47169,41.00%,Rashtriya Janata Dal,Bisfi,35
2010,2,Hari Bhushan Thakur,37668,32.70%,Janata Dal (United),Bisfi,35
2010,3,Md. Ahmar Hasan,8064,7.00%,Indian National Congress,Bisfi,35
2010,4,Dr. Hem Chandra Jha,7204,6.30%,Communist Party Of India,Bisfi,35
2010,5,Seema Devi,3358,2.90%,Independent,Bisfi,35
2010,6,Bhola Sahani,2309,2.00%,Independent,Bisfi,35
2010,7,Binod Kumar,1408,1.20%,Nationalist Congress Party,Bisfi,35
2010,8,Rajeshwar Yadav,1220,1.10%,Independent,Bisfi,35
2010,9,Md. Faiyaj Khan,1094,1.00%,Muslim League Kerala State Committee,Bisfi,35
2010,10,Raghu Nath Mahto,1057,0.90%,Independent,Bisfi,35
2010,11,Ram Chandra Yadav,995,0.90%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bisfi,35
2010,12,Md. Ausaf,955,0.80%,Janata Dal (Secular),Bisfi,35
2010,13,Sanjay Jha,891,0.80%,Marxist Communist Party Of India (S.S.SRIVASTAVA),Bisfi,35
2010,14,Ram Chandra Yadav,871,0.80%,Krantikari Samyavadi Party,Bisfi,35
2010,15,Ram Sharan Sah,842,0.70%,Bahujan Samaj Party,Bisfi,35
2010,1,Ram Deo Mahto,44817,37.00%,Bharatiya Janta Party,Madhubani,36
2010,2,Naiyar Azam,44229,36.50%,Rashtriya Janata Dal,Madhubani,36
2010,3,Kishor Kumar Jha,10291,8.50%,Indian National Congress,Madhubani,36
2010,4,Md.Abdullah,6046,5.00%,Independent,Madhubani,36
2010,5,Sanjay Kumar Mahto,3286,2.70%,Bahujan Samaj Party,Madhubani,36
2010,6,Binod Kumar Azad,2036,1.70%,Independent,Madhubani,36
2010,7,Mihir Jha,1912,1.60%,Independent,Madhubani,36
2010,8,Aghnu Yadav,1348,1.10%,Independent,Madhubani,36
2010,9,Ashok Prasad,1266,1.10%,Samajwadi Janata Party (RASHTRIYA),Madhubani,36
2010,10,Md.Faiaj,1233,1.00%,Independent,Madhubani,36
2010,11,Amresh Kumar Shrivastava,1015,0.80%,Independent,Madhubani,36
2010,12,Md.Idrish,900,0.70%,Janata Dal (Secular),Madhubani,36
2010,13,Anil Kumar Das,757,0.60%,Independent,Madhubani,36
2010,14,Kalyan Bharti,678,0.60%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Madhubani,36
2010,15,Jivanand Mishra Jivan,641,0.50%,Loktantrik Sarvjan Samaj Party,Madhubani,36
2010,16,Santosh Kumar Mahto,623,0.50%,Nationalist Congress Party,Madhubani,36
2010,1,Ram Lakhan Ram Raman,40584,38.00%,Rashtriya Janata Dal,Rajnagar,37
2010,2,Ramprit Paswan,38125,35.70%,Bharatiya Janta Party,Rajnagar,37
2010,3,Ram Ekwal Paswan,13367,12.50%,Indian National Congress,Rajnagar,37
2010,4,Ram Vilas Dhangar,2997,2.80%,Bahujan Samaj Party,Rajnagar,37
2010,5,Mahabir Paswan,2784,2.60%,Independent,Rajnagar,37
2010,6,Siya Ram Saday,2226,2.10%,Indian Justice Party,Rajnagar,37
2010,7,Utim Paswan,2169,2.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Rajnagar,37
2010,8,Jagdeo Paswan,2058,1.90%,Janata Dal (Secular),Rajnagar,37
2010,9,Ganor Sada,1271,1.20%,Bahujan Ekta Party (R),Rajnagar,37
2010,10,Kari Paswan,1175,1.10%,Samajwadi Party,Rajnagar,37
2010,1,Nitish Mishra,57652,49.20%,Janata Dal (United),Jhanjharpur,38
2010,2,Jagat Narayan Singh,36971,31.50%,Rashtriya Janata Dal,Jhanjharpur,38
2010,3,Harkhujha,5869,5.00%,Indian National Congress,Jhanjharpur,38
2010,4,Ram Narayan Yadav,4492,3.80%,Communist Party Of India,Jhanjharpur,38
2010,5,Hare Krishna Chaudhary,4018,3.40%,Independent,Jhanjharpur,38
2010,6,Lakshmi Mukhiya,1900,1.60%,Independent,Jhanjharpur,38
2010,7,Pramod Kumar Paswan,1865,1.60%,Bahujan Samaj Party,Jhanjharpur,38
2010,8,Yognath Mandal,1574,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Jhanjharpur,38
2010,9,Ashok Kumar Mahto,1426,1.20%,Independent,Jhanjharpur,38
2010,10,Buchru Paswan,788,0.70%,Akhil Bharitya Mithila Party,Jhanjharpur,38
2010,11,Mahendra Yadav,746,0.60%,Samajwadi Party,Jhanjharpur,38
2010,1,Guljar Devi,36113,28.50%,Janata Dal (United),Phulparas,39
2010,2,Virendra Kumar Chaudhary,23769,18.80%,Rashtriya Janata Dal,Phulparas,39
2010,3,Satya Narayan Agrawal,9108,7.20%,Independent,Phulparas,39
2010,4,Ram Narayan Mandal,8066,6.40%,Independent,Phulparas,39
2010,5,Bharat Bhushan Mandal,6477,5.10%,Independent,Phulparas,39
2010,6,Ram Kumar Yadav,6437,5.10%,Janata Dal (Secular),Phulparas,39
2010,7,Hitendra Narayan Thakur,5544,4.40%,Nationalist Congress Party,Phulparas,39
2010,8,Upendra Kumar Yadav,5416,4.30%,Samajwadi Party,Phulparas,39
2010,9,Anita Yadav,4677,3.70%,Indian National Congress,Phulparas,39
2010,10,Laleshwar Prasad Singh,4035,3.20%,Janvadi Party (Socialist),Phulparas,39
2010,11,Vikram Shila Devi,3358,2.70%,Communist Party Of India (MARXIST),Phulparas,39
2010,12,Gauri Shankar Yadav,2316,1.80%,Bahujan Samaj Party,Phulparas,39
2010,13,Deo Nath Deon,2099,1.70%,Independent,Phulparas,39
2010,14,Mrityunjay Yadav,1785,1.40%,Independent,Phulparas,39
2010,15,Babue Lal Yadav,1567,1.20%,Independent,Phulparas,39
2010,16,Md. Ainul,1521,1.20%,Rashtravadi Janata Party,Phulparas,39
2010,17,Ganga Prasad Yadav,1324,1.00%,Independent,Phulparas,39
2010,18,Shekharjee Mishra,1195,0.90%,Loktantrik Sarvjan Samaj Party,Phulparas,39
2010,19,Chandra Shekhar Suman,1007,0.80%,All India Forward Bloc,Phulparas,39
2010,20,Vijay Kumar Jha,960,0.80%,Independent,Phulparas,39
2010,1,Hari Prasad Sah,47849,34.80%,Janata Dal (United),Laukaha,40
2010,2,Chitaranjan Prasad Yadav,30283,22.00%,Rashtriya Janata Dal,Laukaha,40
2010,3,Tajmmul Hussain,15034,10.90%,Janata Dal (Secular),Laukaha,40
2010,4,Dev Naraian Mandal,15019,10.90%,Indian National Congress,Laukaha,40
2010,5,Rupesh Kumar,6435,4.70%,Bahujan Samaj Party,Laukaha,40
2010,6,Satya Narayan Yadav,6021,4.40%,Communist Party Of India (MARXIST),Laukaha,40
2010,7,Shibu Yadav,3121,2.30%,Independent,Laukaha,40
2010,8,Pramod Kumar Priyedarshi,2998,2.20%,Nationalist Congress Party,Laukaha,40
2010,9,Shiv Nath Saday,2752,2.00%,Independent,Laukaha,40
2010,10,Ram Balak Paswan,2387,1.70%,Independent,Laukaha,40
2010,11,Dev Kumar Sah,1896,1.40%,Independent,Laukaha,40
2010,12,Indra Kala Devi,1851,1.40%,Independent,Laukaha,40
2010,13,Braham Deo Mandal,885,0.60%,Independent,Laukaha,40
2010,14,Balak Das,859,0.60%,Independent,Laukaha,40
2010,1,Aniruddha Prasad Yadav,70150,53.80%,Janata Dal (United),Nirmali,41
2010,2,Vijay Kumar Gupta,24140,18.50%,Indian National Congress,Nirmali,41
2010,3,Aruna Mehta,23985,18.40%,Rashtriya Janata Dal,Nirmali,41
2010,4,Krishna Kumar Roy,3099,2.40%,Nationalist Congress Party,Nirmali,41
2010,5,Shivjee Sah,3033,2.30%,Independent,Nirmali,41
2010,6,Vijay Kumar,1473,1.10%,Bahujan Samaj Party,Nirmali,41
2010,7,Ramdeo Sharma,1384,1.10%,Independent,Nirmali,41
2010,8,Upender Singh Kushwaha,1330,1.00%,Bharat Vikas Morcha,Nirmali,41
2010,9,Pratima Devi,1125,0.90%,Independent,Nirmali,41
2010,10,Narayan Mehta,738,0.60%,J & K National Panthers Party,Nirmali,41
2010,1,Sujata Devi,44883,35.80%,Janata Dal (United),Pipra,17
2010,2,Dinbandhu Yadav,30197,24.10%,Lok Jan Shakti Party,Pipra,17
2010,3,Dileshwar Kamait,19298,15.40%,Independent,Pipra,17
2010,4,Surya N. Yadav,7647,6.10%,Indian National Congress,Pipra,17
2010,5,Mohammad Mustakim,4012,3.20%,Janata Dal (Secular),Pipra,17
2010,6,Laxmikant Bharti,3482,2.80%,Independent,Pipra,17
2010,7,Ganga Kamat,2425,1.90%,Bahujan Samaj Party,Pipra,17
2010,8,Narayan Mandal,1997,1.60%,Shiv Sena,Pipra,17
2010,9,Roshan Kumar,1955,1.60%,Independent,Pipra,17
2010,10,Babu Jha,1780,1.40%,Independent,Pipra,17
2010,11,Chandra Mohan Yadav,1713,1.40%,Jharkhand Mukti Morcha,Pipra,17
2010,12,Md. Murshid Khan,1445,1.20%,Nationalist Congress Party,Pipra,17
2010,13,Suresh Prasad Mehta,1239,1.00%,Shoshit Samaj Dal (AKHIL BAHARATIYA),Pipra,17
2010,14,Sanjeet Kumar Choudhary,1231,1.00%,Bharat Vikas Morcha,Pipra,17
2010,15,Rajendera Nirala,1101,0.90%,Rashtravadi Janata Party,Pipra,17
2010,16,Yogendrayadav,828,0.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Pipra,17
2010,1,Bijendra Prasad Yadav,55179,45.50%,Janata Dal (United),Supaul,43
2010,2,Ravindra Kumar Raman,39779,32.80%,Rashtriya Janata Dal,Supaul,43
2010,3,Pramod Kumar Singh,14251,11.70%,Indian National Congress,Supaul,43
2010,4,Deo Narayan Yadav,5293,4.40%,Jharkhand Mukti Morcha,Supaul,43
2010,5,Suresh Kumar Azad,1808,1.50%,Independent,Supaul,43
2010,6,Lal Krishna Adwani,1567,1.30%,Bahujan Samaj Party,Supaul,43
2010,7,Raghunath Kamat,1272,1.10%,Janata Dal (Secular),Supaul,43
2010,8,Sita Ram Sharma,1258,1.00%,Samajwadi Party,Supaul,43
2010,9,Bhogi Mandal,936,0.80%,Rashtravadi Janata Party,Supaul,43
2010,1,Amla Devi,63729,49.00%,Janata Dal (United),Tribeniganj,44
2010,2,Anant Kumar Bharti,44706,34.30%,Lok Jan Shakti Party,Tribeniganj,44
2010,3,Surendra Narayan Sardar,8605,6.60%,Indian National Congress,Tribeniganj,44
2010,4,Sudha Kumari,3025,2.30%,Independent,Tribeniganj,44
2010,5,Anmol Rishideo,2000,1.50%,Independent,Tribeniganj,44
2010,6,Gita Devi,1473,1.10%,Bahujan Samaj Party,Tribeniganj,44
2010,7,Shiv Chandra Ram,1384,1.10%,Shiv Sena,Tribeniganj,44
2010,8,Renu Kumari,1263,1.00%,Independent,Tribeniganj,44
2010,9,Kumari Shobha,999,0.80%,Samajwadi Party,Tribeniganj,44
2010,10,Mahendra Rishideo,865,0.70%,Jharkhand Mukti Morcha,Tribeniganj,44
2010,11,Ghanshyam Ram,822,0.60%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Tribeniganj,44
2010,12,Ujine,784,0.60%,Independent,Tribeniganj,44
2010,13,Kameshwar Paswan,514,0.40%,J & K National Panthers Party,Tribeniganj,44
2010,1,Neeraj Kumar Singh,66895,48.90%,Janata Dal (United),Chhatapur,45
2010,2,Akeel Ahmad,43165,31.60%,Rashtriya Janata Dal,Chhatapur,45
2010,3,Gulab Chand Paswan,5334,3.90%,Jharkhand Mukti Morcha,Chhatapur,45
2010,4,Shah Jamaal,4391,3.20%,Indian National Congress,Chhatapur,45
2010,5,Reeta Devi,2915,2.10%,Independent,Chhatapur,45
2010,6,Vinoda Nand,2239,1.60%,Independent,Chhatapur,45
2010,7,Ramesh Kumar Mukhiya,2198,1.60%,Independent,Chhatapur,45
2010,8,Balram Singh Yadav,1971,1.40%,Communist Party Of India (MARXIST),Chhatapur,45
2010,9,Vipin Kumar Yadav,1527,1.10%,Independent,Chhatapur,45
2010,10,Mahesh Prasad Mehta,1079,0.80%,J & K National Panthers Party,Chhatapur,45
2010,11,Jai Prakash Yadav,981,0.70%,Janata Dal (Secular),Chhatapur,45
2010,12,Ramendra Prasad Gupta,873,0.60%,Independent,Chhatapur,45
2010,13,Lalan Kumar,683,0.50%,Bahujan Samaj Party,Chhatapur,45
2010,14,Amar Nath Mishra,580,0.40%,Independent,Chhatapur,45
2010,15,Jitendra Kumar Singh,567,0.40%,Independent,Chhatapur,45
2010,16,Manoj Kumar Jaiswal,538,0.40%,Nationalist Congress Party,Chhatapur,45
2010,17,Phek Narayan Mandal,452,0.30%,Independent,Chhatapur,45
2010,18,Amanullah Khan,331,0.20%,Independent,Chhatapur,45
2010,1,Devanti Yadav,61106,41.00%,Bharatiya Janta Party,Narpatganj,46
2010,2,Anil Kumar Yadav,54169,36.30%,Rashtriya Janata Dal,Narpatganj,46
2010,3,Bhartendu Prasad Yadav,8782,5.90%,Indian National Congress,Narpatganj,46
2010,4,Hadis,6022,4.00%,Independent,Narpatganj,46
2010,5,Alok Kumar,3418,2.30%,Bahujan Samaj Party,Narpatganj,46
2010,6,Anant Kumar Roy,3408,2.30%,Independent,Narpatganj,46
2010,7,Shahjahan Shad,2418,1.60%,Nationalist Congress Party,Narpatganj,46
2010,8,Surendra Kumar Rishideo,2327,1.60%,Independent,Narpatganj,46
2010,9,Raghunandan Paswan,1948,1.30%,Independent,Narpatganj,46
2010,10,Dinesh Kushwaha,1451,1.00%,Independent,Narpatganj,46
2010,11,Kapildeo Roy,1264,0.90%,Loktantrik Samata Dal,Narpatganj,46
2010,12,Sitanshu Shekhar Pintu,1187,0.80%,Janata Dal (Secular),Narpatganj,46
2010,13,Bhagwat Mishra Viyogi,922,0.60%,Independent,Narpatganj,46
2010,14,Aslam Beg,671,0.50%,Muslim League Kerala State Committee,Narpatganj,46
2010,1,Parmanand Rishideo,65111,49.60%,Bharatiya Janta Party,Raniganj,47
2010,2,Shanti Devi,41458,31.60%,Rashtriya Janata Dal,Raniganj,47
2010,3,Hari Prasad Baishantree,9955,7.60%,Indian National Congress,Raniganj,47
2010,4,Kaushalya Devi,3883,3.00%,Nationalist Congress Party,Raniganj,47
2010,5,Suresh Rishideo,3692,2.80%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Raniganj,47
2010,6,Dhanik Lal Paswan,2990,2.30%,Bahujan Samaj Party,Raniganj,47
2010,7,Randheer Paswan,2125,1.60%,Jharkhand Mukti Morcha,Raniganj,47
2010,8,Kameshwar Paswan,1977,1.50%,Rashtriya Jan-Jagram Morcha,Raniganj,47
2010,1,Padam Parag Roy 'venu',70463,48.90%,Bharatiya Janta Party,Forbesganj,48
2010,2,Maya Nand Thakur,43636,30.30%,Lok Jan Shakti Party,Forbesganj,48
2010,3,Prakash Chaudhary,8185,5.70%,Indian National Congress,Forbesganj,48
2010,4,Kafil Ahmad,4300,3.00%,Bahujan Samaj Party,Forbesganj,48
2010,5,Raja Raman Bhaskar,2534,1.80%,Independent,Forbesganj,48
2010,6,Suresh Paswan,2386,1.70%,Nationalist Congress Party,Forbesganj,48
2010,7,Ram Kumar Bhagat,2145,1.50%,Independent,Forbesganj,48
2010,8,Subhash Chand Jha,1953,1.40%,Independent,Forbesganj,48
2010,9,Jitendra Roy,1885,1.30%,Independent,Forbesganj,48
2010,10,Satya Narayan Writer,1454,1.00%,Muslim League Kerala State Committee,Forbesganj,48
2010,11,Naresh Kumar Thakur,1379,1.00%,Shiv Sena,Forbesganj,48
2010,12,Shyam Sundar Sharma,743,0.50%,Rashtriya Krantikari Janata Party,Forbesganj,48
2010,13,Champa Lal Mandal,678,0.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Forbesganj,48
2010,14,Pradeep Yadav,601,0.40%,Samajwadi Party,Forbesganj,48
2010,15,Manoj Sada,574,0.40%,Bharat Vikas Morcha,Forbesganj,48
2010,16,Mukesh Kumar Singh,555,0.40%,Loktantrik Sarvjan Samaj Party,Forbesganj,48
2010,17,Lalit Kumar Bishwas,494,0.30%,Jharkhand Mukti Morcha,Forbesganj,48
2010,1,Zakir Hussain Khan,49532,38.50%,Lok Jan Shakti Party,Araria,49
2010,2,Narayan Kumar Jha,31471,24.50%,Bharatiya Janta Party,Araria,49
2010,3,Moidur Rahman,18344,14.30%,Indian National Congress,Araria,49
2010,4,Ajay Kumar Jha,11846,9.20%,Independent,Araria,49
2010,5,Mohammad Haider Yasin,4612,3.60%,Independent,Araria,49
